row_key	Atlas	dataset_title	pmid	doi	portal_url	citation	paper_figures
stds0000066|GSM4459956_21A_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459957_21B_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459958_22A_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459959_22B_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459960_23A_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459961_23B_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459962_24A_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459963_24B_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459964_25A_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459965_26A_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459966_26B_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459967_27A_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459968_27B_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459969_28A_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459970_28B_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459971_29A_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459972_29B_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459973_30A_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459974_31A_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
stds0000066|GSM4459975_32A_ST_processed.h5ad	STDS0000066	Molecular atlas of the adult mouse brain.	32637622	10.1126/sciadv.abb3446	https://db.cngb.org/stomics/datasets/STDS0000066/	Ortiz, Cantin et al. “Molecular atlas of the adult mouse brain.” Science advances vol. 6,26 eabb3446. 26 Jun. 2020, doi:10.1126/sciadv.abb3446	
